Address,Minute,Blue kills,Blue deaths,Kill freq,Blue kill freq,Blue death freq,Red structures taken,Blue structures lost,Structure freq,Blue structure freq,Red structure freq,Blue gold,Gold diff,Delta gold diff,Blue win
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,7,1,1,0.4,0.2,0.2,0,0,0.0,0.0,0.0,8459.0,-8.0,-27.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,8,2,1,0.6,0.4,0.2,0,0,0.0,0.0,0.0,9993.0,325.0,187.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,9,2,1,0.6,0.4,0.2,0,0,0.0,0.0,0.0,11634.0,898.0,1231.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,10,2,1,0.4,0.4,0.0,0,0,0.0,0.0,0.0,12813.0,812.0,820.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,11,2,1,0.2,0.2,0.0,0,0,0.0,0.0,0.0,14323.0,858.0,533.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,12,2,1,0.2,0.2,0.0,0,0,0.0,0.0,0.0,15612.0,809.0,-89.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,13,2,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16993.0,845.0,33.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,14,2,2,0.2,0.0,0.2,0,0,0.0,0.0,0.0,18529.0,973.0,115.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,15,2,2,0.2,0.0,0.2,0,1,0.2,0.0,0.2,19933.0,598.0,-211.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,16,2,2,0.2,0.0,0.2,0,1,0.2,0.0,0.2,21462.0,-128.0,-973.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,17,3,2,0.4,0.2,0.2,0,1,0.2,0.0,0.2,22528.0,-197.0,-1170.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,18,3,3,0.6,0.2,0.4,1,2,0.6,0.2,0.4,24407.0,-240.0,-838.0,True
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001110117?gameHash=f03c8ac2897345bf,19,3,3,0.4,0.2,0.2,1,2,0.6,0.2,0.4,26282.0,-687.0,-559.0,True
